Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Bearing,Cloud Cover,UV Index
"Aug 13, 2019, 7:07:02 PM",Evening Run,Run,1314,4.84,187,1314,4.300000191,,174,191,1.700000048,6.400000095,2.799999952,-0.051642224,94,88.90486908,168,,,,,,,,,
"Aug 13, 2019, 7:47:35 PM",Evening Run,Run,143,0.43,177,143,5,,3,8,4.099999905,6.099999905,1.5,0.393700778,91,84.80291748,170,,,,,,,,,
"Aug 13, 2020, 6:33:48 PM",â›… Evening Run,Run,2604,8.05,173,2604,3.599999905,3.092281103,83.55666351,196,163.6000061,199,9.600000381,-0.008693169,88,84.18901062,156.5989227,21.06999969,21.37000084,17.87000084,0.819999993,1014.200012,2.809999943,110,0.75,1
"Aug 13, 2021, 12:12:43 PM",â›… Afternoon Activity,Workout,3524,5.71,115,3500,2,1.631942868,84.08015442,184,8.800000191,91.5,7.699999809,-0.001750762,60,56.14615631,95.49199677,18.45000076,18.45000076,14.80000019,0.790000021,1019,8.170000076,239,0.400000006,5
"Aug 14, 2014, 6:41:37 PM","08/14/2014 Cork, Ireland",Run,2461,7.33,,2454,5.699999809,,97.54949951,,133.3999939,195.5,13.5,0.117288999,,,,,,,,,,,,
"Aug 14, 2016, 4:27:51 PM",Afternoon Run,Run,3532,11.28,,3532,8.5,,99.12909698,,133.1999969,197.1000061,7.199999809,-0.00709157,,,,,,,,,,,,
"Aug 14, 2017, 5:54:47 PM",Evening Run,Run,177,0.59,,177,3.700000048,,2.400000095,,2.900000095,6.199999809,5.099999905,-0.337211013,,,,,,,,,,,,
"Aug 14, 2017, 6:08:22 PM",Evening Run,Run,651,1.48,,646,4.199999809,,0,,3,4,4,0.0269469,,,,,,,,,,,,
"Aug 14, 2017, 6:25:49 PM",Evening Run,Run,94,0.4,,94,5.099999905,,2.579999924,,2.900000095,6.400000095,5.5,-0.198461995,,,,,,,,,,,,
"Aug 14, 2017, 6:28:12 PM",Evening Run,Run,89,0.4,,89,5,,0,,2.900000095,6.599999905,6.099999905,0.098546401,,,,,,,,,,,,
"Aug 14, 2017, 6:30:36 PM",Evening Run,Run,91,0.39,,91,4.800000191,,0,,2.900000095,6.5,5.599999905,0.025144599,,,,,,,,,,,,
"Aug 14, 2017, 6:35:01 PM",Evening Run,Run,94,0.4,,94,4.699999809,,0,,3,6.699999809,4.5,-0.024888,,,,,,,,,,,,
"Aug 14, 2017, 6:37:37 PM",Evening Run,Run,95,0.39,,95,4.699999809,,0,,4.199999809,7.699999809,3.5,0.126295,,,,,,,,,,,,
"Aug 14, 2017, 6:40:27 PM",Evening Run,Run,97,0.39,,97,4.5,,2.480000019,,2.900000095,6.400000095,5.699999809,-0.075244501,,,,,,,,,,,,
"Aug 14, 2017, 6:45:22 PM",Evening Run,Run,99,0.39,,99,4.599999905,,2.099999905,,2.900000095,6.400000095,5.599999905,-0.075225703,,,,,,,,,,,,
"Aug 14, 2017, 6:48:19 PM",Evening Run,Run,92,0.39,,92,5.099999905,,0,,2.900000095,6.599999905,7,-0.0501756,,,,,,,,,,,,
"Aug 14, 2017, 6:51:51 PM",Evening Run,Run,88,0.39,,88,5.300000191,,2.313329935,,3,6.400000095,4.599999905,-0.0508647,,,,,,,,,,,,
"Aug 14, 2017, 6:59:54 PM",Evening Run,Run,969,3.02,180,969,3.599999905,,13.58095264,,4.5,11.30000019,11.5,0.06275183,,,162.1589203,,,,,,,,,
"Aug 15, 2015, 1:58:06 PM","08/15/2015 Cork, Ireland",Crossfit,4653,25.85,,4465,12.30000019,,155.0829926,,23.20000076,67.80000305,9,0.0100574,,,,,,,,,,,,
"Aug 15, 2017, 6:09:57 PM",Evening Run,Run,989,3.23,,989,4,,20.77669907,,171.8000031,185.1000061,10.10000038,0.077224903,,,,,,,,,,,,
"Aug 15, 2017, 6:36:10 PM",Evening Run,Run,3122,10.4,,3122,4.699999809,,102.7669983,,134.1000061,196,10.89999962,0.021136399,,,,,,,,,,,,
"Aug 15, 2019, 6:06:29 PM",Evening Run,Run,3831,11.75,175,3772,4.300000191,,278,267,39,69.5,6.400000095,0.007657945,89,84.44937134,153,,,,,,,,,
"Aug 15, 2020, 7:36:20 AM",â˜ï¸ Morning Run,Run,4682,12.9,171,4235,4.099999905,3.047296286,142.0254517,339,102,185.3999939,21.60000038,0.006973879,89,83.30573273,157.9695435,15.81000042,16.17000008,15.81000042,1,1015.400024,2.299999952,86,0.939999998,0
"Aug 15, 2021, 4:09:02 PM",â›… Afternoon Ride,Ride,3825,19.12,169,3825,11.80000019,4.998457432,240.5183258,254,5.699999809,111.8000031,9.600000381,-0.000523037,,,138.6622162,18.93000031,18.93000031,14.17000008,0.74000001,1014.200012,8.079999924,334,0.409999996,3
"Aug 16, 2014, 6:38:25 PM","08/16/2014 Cork, Ireland",Run,1889,5.49,,1881,4.599999905,,81.51679993,,11.39999962,87,26.5,-0.094609097,,,,,,,,,,,,
"Aug 16, 2016, 6:35:51 PM",Evening Run,Run,3129,10.44,,3129,4.400000095,,92.70670319,,132.8000031,197.1999969,12.10000038,-0.00766122,,,,,,,,,,,,
"Aug 16, 2017, 7:06:21 PM",Evening Run,Run,1311,4.97,,1311,4.699999809,,30.8567009,,1.899999976,12.89999962,4.400000095,0.00603488,,,,,,,,,,,,
"Aug 17, 2014, 7:46:07 PM","08/17/2014 Cork, Ireland",Run,1823,5.66,,1815,7.199999809,,75.12519836,,11.19999981,87.19999695,35.20000076,-0.187136993,,,,,,,,,,,,
"Aug 17, 2016, 7:04:44 PM",Evening Run,Run,1343,4.99,,1343,5,,0,,2.5,12.5,4.900000095,-0.00801619,,,,,,,,,,,,
"Aug 17, 2017, 6:27:08 PM",Evening Run,Run,4785,10.75,,4365,6.300000191,,319.243988,,36.59999847,156.5,47.40000153,-0.040897898,,,,,,,,,,,,
"Aug 17, 2019, 6:09:41 AM",Morning Run,Run,9882,25.76,177,9126,4.300000191,,628,788,8.199999809,184.3999939,6.599999905,-0.657003701,87,82.20466614,154,,,,,,,,,
"Aug 18, 2014, 7:19:07 PM","08/18/2014 Cork, Ireland",Run,1806,5.5,,1798,5.300000191,,77.70220184,,10.80000019,86.90000153,28.60000038,-0.134461999,,,,,,,,,,,,
"Aug 18, 2015, 6:38:09 PM","08/18/2015 Watergrasshill, Cork, Ireland",Run,2917,9.72,,2917,4.199999809,,34.51900101,,169.5,184.3000031,5.099999905,-0.00514134,,,,,,,,,,,,
"Aug 18, 2016, 6:36:50 PM",Evening Run,Run,3709,11.8,,3709,4,,96.73999786,,132.8000031,197.1999969,12.80000019,0.000846948,,,,,,,,,,,,
"Aug 18, 2019, 4:21:29 PM",Afternoon Ride,Ride,3145,15.05,151,3050,10.30000019,,172,182,4.400000095,113.9000015,16.79999924,-0.006642268,,,128,,,,,,,,,
"Aug 19, 2014, 7:25:24 PM","08/19/2014 Cork, Ireland",Run,1828,5.46,,1815,5.199999809,,82.25710297,,11.69999981,87.59999847,28.5,-0.122699,,,,,,,,,,,,
"Aug 19, 2015, 4:22:59 PM",Afternoon Run,Run,1600,5.42,,1600,4.800000191,,80.27670288,,10.80000019,86.5,14,-0.125336006,,,,,,,,,,,,
"Aug 19, 2018, 10:54:27 AM",Lunch Walk,Walk,3384,5.38,,3384,2.900000095,,75.92934418,,14.30000019,89.09999847,11.5,-0.001858805,,,,,,,,,,,,
"Aug 19, 2019, 3:39:12 PM",Afternoon Run,Run,1672,5.4,176,1672,4.199999809,,119,117,9.100000381,83.19999695,6.900000095,-0.109125882,88,85.08552551,160,,,,,,,,,
"Aug 19, 2019, 6:07:50 PM",Evening Ride,Ride,1179,9.27,135,1179,14.39999962,,31,146,46.29999924,184.3999939,4.300000191,-1.367913842,,,122,,,,,,,,,
"Aug 19, 2019, 7:09:08 PM",Evening Swim,Swim,1843,649,,1751,0.5,,,,142.6000061,148.1999969,3.5,-0.369742721,29,28,,,,,,,,,,
"Aug 2, 2014, 1:22:21 PM","08/02/2014 Kerry, Ireland",Run,9145,4.94,,3145,5.699999809,,326.0450134,,146.6999969,477,33.29999924,-0.044493001,,,,,,,,,,,,
"Aug 2, 2016, 7:13:14 PM",Evening Run,Run,1571,5.43,,1571,4.5,,88.11000061,,11,86.90000153,22.60000038,-0.127052993,,,,,,,,,,,,
"Aug 2, 2017, 6:51:00 PM",Evening Swim,Swim,1929,"1,262",,1929,5.599999905,,5.506669998,,26.60000038,38,22.20000076,-0.467512012,,,,,,,,,,,,
"Aug 2, 2020, 1:03:04 PM",â›… Afternoon Run,Run,4339,6.14,173,3656,2,1.681318402,95.110672,219,7.699999809,91.80000305,8.300000191,0.001626836,61,54.38625717,121.9373627,18.29999924,18.29999924,11.72999954,0.660000026,1018.900024,6.039999962,261,0.610000014,5
"Aug 2, 2021, 5:23:26 PM",â›… Evening Activity,Workout,4278,5.66,115,3777,2,1.499073386,29.85379028,170,5.800000191,14.60000038,4.5,0.075944893,72,55.02885056,91.8662262,15.94999981,15.94999981,13.06000042,0.829999983,1015.400024,2.730000019,188,0.910000026,2
"Aug 20, 2014, 2:24:33 PM","08/20/2014 Cork, Ireland",Run,1843,5.36,,1837,3.900000095,,79.40329742,,11.39999962,86.90000153,31.29999924,-0.123102002,,,,,,,,,,,,
"Aug 20, 2015, 6:08:51 PM",Evening Run,Run,4595,14.48,,4595,4.5,,174.5930023,,0,116.9000015,18.39999962,0.017260499,,,,,,,,,,,,
"Aug 20, 2016, 6:36:47 AM",Morning Run,Run,10370,27.38,,9750,3.799999952,,233.5209961,,104,195.8000031,8.100000381,0.000730447,,,,,,,,,,,,
"Aug 20, 2017, 10:56:14 AM",Lunch Run,Run,1143,3.22,,1143,3.400000095,,15.60569954,,27,43.5,5.900000095,-0.0062029,,,,,,,,,,,,
"Aug 20, 2017, 7:53:06 AM",Morning Run,Run,2057,6.54,,2057,3.700000048,,37.56330109,,26.20000076,62.5,7.199999809,-0.0152749,,,,,,,,,,,,
"Aug 20, 2017, 8:59:43 AM",Morning Run,Run,6411,21.08,,6411,4.099999905,,181.8959961,,20,91.09999847,9.699999809,-0.044109698,,,,,,,,,,,,
